globalReviewId,productName,review,keyword,summary
Capterra___531058,iRevü,This software helped in understanding what worked and what didn't for our employees. A lot of our employees don't earn a lot of money which is typical for the house cleaning industry. What we struggled with was finding ways to motivate them day to day. It wasn't bonuses or the potential for raises that incentivized them. More it was scheduling flexibility to be with kids and certainty in pay that mattered more. Knowing this allowed us to cut programs that didn't work and reduce overhead. Between the training and the support and how easy the tool has been adopted throughout our company has made huge improvements for us. We struggled with communicating goals and values and now employees are aligned with all of our business goals. No complaints yet. We have been using it for 2 years and have yet to have any issues with the service. No down time or bugs that have occurred.,"goals
cleaning
helped","This software helped in understanding what worked and what didn't for our employees.
We struggled with communicating goals and values and now employees are aligned with all of our business goals."
Capterra___1081383,iRevü,"As an HR Executive in a mid-size technology company, our annual review process can be quite cumbersome and time consuming for our employees.  I have found that iRevu is a great potential replacement or add-on to any performance management tool.  In addition the option to request feedback from anyone is a great asset to creating a culture of transparency and collaboration.   The interface is very simple to use it takes only seconds to share or request feedback.  The ability to include Rewards within the tool is a great way to share monetary or other incentives to your teams.  In addition to ease of use, the collection of feedback is a great tool that helps to streamline what can be an arduous annual review process.  I haven't yet found any issues that cause me concern, ","great
review
technology","In addition to ease of use, the collection of feedback is a great tool that helps to streamline what can be an arduous annual review process."
Capterra___558278,iRevü,"Feedback continues to be our secret weapon in the Consulting field.  iRevU enables that We love the Ease of use.  The tool is a  smart and frictionless idea that deployed quickly into our organization.  This tool improves business communication and improves employee experience.  iRevU is a state of the art, new way to work!  It should be in all organizations.  If you care about your people, give them a way to share feedback.  Culture cloud and data analytics are very insightful - it shows which managers are providing feedback and actually managing their teams. No drawbacks - iRevU is something that can help any organization and team.  We have no issues setting up new team members or using different interfaces (mobile, desktop).","feedback
irevu
new
improves
mobile
interfaces
teams
team","iRevU is a state of the art, new way to work!
No drawbacks - iRevU is something that can help any organization and team."
Capterra___552133,iRevü,Quality feedback to our team provided on an easy to use the platform. 1. Fast onboarding with minimal training.  2. it's helping us build a culture of positive feedback and acknowledgment of quality work.  3. It's a great value. None at this time. We may have feedback after the first year--I will update this review at that time.,"fast
feedback",2. it's helping us build a culture of positive feedback and acknowledgment of quality work.
Capterra___1008149,iRevü,"People don't use it.  Like that it captures info, but it's only as good as people use.  Captures feedback and puts in one place for a date range selected Character limitations on goals
Reports could be prettier
Wish there could be a way to document feedback without sending an email to the employee (because maybe it was already discussed in person)
If there was a way to calculate a weighted average on goals, that would be great -- but that might be asking for too much
If we could pay by the month, that would be better.
","captures
range
character","Like that it captures info, but it's only as good as people use."
Capterra___1611754,AssessTEAM,"Generally the support team at AssessTEAM has been great with setup and implementation and ongoing support.   We were not looking for a traditional Team Management Software we were looking for an existing system to manage and assess our core competencies and develop them. We found that AssessTEAM was a good start. The  support team was able to create features that we wanted. We like that the reviewees can view their reviews in totality, other software is very much managment-facing. We needed something employee-facing. We had a few glitches that made it seem like we were Beta testing the software. It was a bit of a hassle. Luckily, the awesome support team was able to fix the problem in short order. I wish the system was a bit more configurable in terms of  goal setting. ","support team
management
manage
managment","The  support team was able to create features that we wanted.
We like that the reviewees can view their reviews in totality, other software is very much managment-facing."
Capterra___134396,AssessTEAM,"It took us a total of 3 days to rollout the system for 16 employees. The KRA database was very useful to build a foundation of our evaluation plan and the simple import routines got our employees setup quickly. Very little help was needed unlike the other systems I have tried , never saw a video or needed help  simplicity
cloud usage
speed
kra / kpi library the mobile apps do not allow for all features in the backend, only a very small subset","kra
help
setup
import routines",The KRA database was very useful to build a foundation of our evaluation plan and the simple import routines got our employees setup quickly.
Capterra___1508502,AssessTEAM,"Very pleased with my experience with this program. I got started right away, and there are numerous functions this software provides. Allows for growth of user and company; learn and use the components you need at that time. This product offers easy setup and usage.  You will be able to start using this software immediately, there really is no learning curve.  Offers so many options regarding employee time, profits, productivity and more. This software is so extensive, it will allow for growth in years to come. As you learn more, there are more functions you can explore. Evaluations are simple to do with this software. The mobile app doesn't work for all functions. I personally don't use the mobile app often, so it wasn't an issue for me but may be for those who do use mobile apps on a regular basis.","offers
mobile
software
started
start
provides","I got started right away, and there are numerous functions this software provides.
Allows for growth of user and company; learn and use the components you need at that time."
Capterra___1607388,AssessTEAM,"We are using AssessTeam for our annual performance review process.  The rep has been extremely patient and helpful throughout the process.  We started to look at the software almost a year ago but didn't implement until June 2019 and he kept in contact and was ready to help when we were ready to move forward.  His team did an efficient and accurate job of entering our data for the trial and the fact that we were able to use this data for our live site was so valuable.  The system is easy to use from both an admin and user perspecive.   Competitive price. 
System provides exactly what we need.  It wasn't as robust as others but we didn't need the features or functionality of the other systems.
User friendly.
The trial was invaluable and the implementation help that AssessTeam provided was outstanding.
Customer service is great.  The rep provided quick responses that were easy to understand.

 A little tricky to understand some of the terminology but the rep has been very responsive when I've gotten stuck or couldn't find something so this wasn't much of an issue.","provides
provided
user
customer
performance review
competitive","The trial was invaluable and the implementation help that AssessTeam provided was outstanding.
The rep provided quick responses that were easy to understand."
Capterra___388465,AssessTEAM,"Visibility of the information collected is great. Ease of use is also a driving factor when we select a new software. We have found if software is overly complicated it will not be utilized With over 300 employees, this system has given us the visibility to continue the growth of a  stronger team.  Before we had assess team the evaluation  process was long and drawn out and produced information that was buried in files and never reviewed by the managers that needed to see the information.  No real cons that we have found that the assess team didn't address immediately. The software has much more potential than we are currently using.","team
information
new
software",No real cons that we have found that the assess team didn't address immediately.
Capterra___1919342,AssessTEAM,"I have nothing but great things to say about the team member I worked with.  [SENSITIVE CONTENT HIDDEN], the business consultant that helped me provided a fantastic demo and not only answered all of my questions, but helped me get my team set up and made sure I fully understood how to use all of the software functionality to optimize my team's experience. Love the simplicity of the software, yet the high level of functionality.  The system is easy to use, has a fantastic layout and provides all of the functions we need to manage team performance.  I worked with one of the business consultants and he was friendly, patient and very thorough at explaining the software to me.  I don't have anything negative to say about this software.","team
content
fantastic
experience
love","[SENSITIVE CONTENT HIDDEN], the business consultant that helped me provided a fantastic demo and not only answered all of my questions, but helped me get my team set up and made sure I fully understood how to use all of the software functionality to optimize my team's experience."
Capterra___1146831,AssessTEAM,"Finally we have a tool to help us do 360 reviews!  And the customer service was incredible. Patient, informed, positive attitude. Just a wonderful experience after so many disappointments with other tools. The flexibility to to find a way to make the system work for us was a huge plus. We have had to abandon several other tools that we could not customize to our needs. Because there are so many ways to customize, the user interface is not always intuitive.  Luckily we had a wonderful account person who helped us work through and answered so many of our questions with enthusiasm and expertise.  Thanks team!!","thanks
account
wonderful
patient",We have had to abandon several other tools that we could not customize to our needs.
Capterra___1607552,AssessTEAM,"Being able to measure performance with data is a new concept for our team, but one we're really excited about using AssessTeam for, to be able to make calculated and unbiased decisions.  The price is awesome. For just starting to measure performance of our team, it's a great place to start. The reports section is also really helpful and easy to interpret  Confusing to learn. Also not an option to submit a survey completely anonymously. They should at least have the option to, for things like true 360 degree reviews.","completely
degree
like true","For just starting to measure performance of our team, it's a great place to start."
Capterra___1614085,AssessTEAM,I have been pleasantly surprised at the level of support and assistance provided. I just sent out the first round of performance review links and am looking forward to having more transparency and insight into our employee performance.  The cost is very reasonable compared to other solutions in the marketplace. The software allows us to customize the review process without being forced into using a certain format.  It is easy to pick up quickly but there are some nuances that I had to call support about. They are very fast to respond and cleared up my confusion quickly.,"performance review
assistance",It is easy to pick up quickly but there are some nuances that I had to call support about.
Capterra___1904587,AssessTEAM,"We have been using AssessTeam for around 6 months already. That helped us get rid of paper evaluations, systematize evaluation forms, easily collect complete evaluations in one place. We are still working on small adjustments, however, overall impression is positive. 360-degree evaluations
web platform (easy to access from different devices)
mobile-friendly
customizable
every day support from AssessTeam representatives website bugs sometimes (especially if used be many users at the same time)
gradation (rock stars, adequate and needs help) does not always meet all the requirements company/team needs
impossible to engage with external users without adding them into the system","evaluations
evaluation
needs
representatives website
stars
devices
gradation","every day support from AssessTeam representatives website bugs sometimes (especially if used be many users at the same time)
gradation (rock stars, adequate and needs help) does not always meet all the requirements company/team needs"
Capterra___1604937,AssessTEAM,"We get quick and good customer support from Rajat. He is always responsive and willing to help with all our questions. In addition, he is open to receiving our feedback so he can take that to the development team to improve the platform.  We really appreciate his support. The software is simple and is improving. It does not have all the features and functionality yet but AssessTEAM is working on it. ",customer,We really appreciate his support.
Capterra___270957,AssessTEAM,Perfect for our needs. Great functionality.  I had one modification that I requested from support related to the ability to export certain report details.  They gladly made the change for us. Perfect for what we need it for.  Possibly offer multiple packages based on needs.  I wouldn't mind not having to look at certain manhour reports on the site that we don't use.,"great
reports
certain report",I wouldn't mind not having to look at certain manhour reports on the site that we don't use.
SoftwareAdvice___399534,Insights,"If you are looking for a paperless, clear, simple and transparent solution to employee engagement and evaluation process woes, look no further! Kids' Country has struggled with the formal evaluation process for many years.  Lack of time, an employee base that does not access technology regularly, and the disconnect between frontline staff and organizational initiatives are just some of the challenges we faced.  Once we completed our strategic planning process and determined that employee engagement, recruitment and retention were key opportunities for us, we began to look for an alternative to the formal process.  OpaConnect has been a dream come true.  The system has taken what used to be a scary, complicated and laborious process, and created what is now something our staff look forward to.  The system clearly makes the connection between front line staff's goals to our key strategic initiatives.  It also allows for more consistent and casual conversations regarding staff performance versus the dreaded annual meeting.  Employees are empowered to keep notes and tasks documented within Opa to talk about with their supervisors.  ""Shoutouts"" allow for anyone to celebrate colleagues for any reason.  The behind, on track or ahead rating is simple and easy to understand.  The transparency regarding goals and initiatives across all levels has also created a new found trust at Kids' Country.  The customer service support has been phenomenal.  I've provided quite a bit of feedback in the form of features that would be helpful and all of it has been heard, considered and much of it was implemented!  I cannot speak highly enough of OpaConnect!   The reporting function is slightly behind where I'd like it to be but I know that they are working on solutions for that.","process
staff
employees
strategic
come
shoutouts
clear
technology
service
looking
look
employee engagement
annual
meeting","If you are looking for a paperless, clear, simple and transparent solution to employee engagement and evaluation process woes, look no further!
The system clearly makes the connection between front line staff's goals to our key strategic initiatives.
The transparency regarding goals and initiatives across all levels has also created a new found trust at Kids' Country."
Capterra___1330814,Insights,"Overall I feel that OpaConnect has brought a level of transparency to what we are focused on as an organization and how we all align to the strategic objectives.  The tool has also decreased the administrative time of the ""review"" process as the meet and prep processes are simple and straightforward, which encourages and sustains better conversations between managers and employees.  #1 favorite component is the ""meet"" functionality.  The pre-meet or ""prep"" is a great tool for both employees and managers.  #2 Fav: Employees can easily align their goals to company strategies creating the elusive line of sight and the tool allows everyone to see how the collective organization is trending toward those strategies. #3 Fav: Core Behaviors (aka values) are included in the review or ""meet"" process.  It keeps them front and center and creates a space to discuss how they are lived (or not) by the individual.   My only con is the back end.  Set up is easy but reporting is challenging.  The support team is SO open to customer feedback and share their roadmap so I know this is one area that will see improvement in the near term.   From an end user perspective it's pretty easy, clean experience. ","fav
meet
process
processes
strategies
tool
better
user
end
easy","The tool has also decreased the administrative time of the ""review"" process as the meet and prep processes are simple and straightforward, which encourages and sustains better conversations between managers and employees.
#2 Fav: Employees can easily align their goals to company strategies creating the elusive line of sight and the tool allows everyone to see how the collective organization is trending toward those strategies."
Capterra___1325026,Insights,"OpaConnect has given me a great framework for documenting conversations. This ensures that all parties are on the same page and provides employees with very clear expectations and outcomes. I love OpaConnect because it allows me to communicate regularly with a team of consultants who all work remotely. I can easily see what projects they are working on, it helps guide our conversations so they stay on track, and is an easy way to tie individual goals and responsibilities into the bigger picture. OpaConnect allows me to set deliverables and expectations that are clear and provides a structure for more regular, meaningful conversations.  I would like to see OpaConnect more integrated with my Outlook calendar. While it does place the meeting on my calendar, I don't have insight into open timeframes for both parties when setting up a new meeting.","opaconnect
individual
conversations
meaningful
picture
way","OpaConnect allows me to set deliverables and expectations that are clear and provides a structure for more regular, meaningful conversations."
Capterra___1713822,Insights,"following up on my 1:1s and preparing for them is very easy and intuitive  Scheduling your 1:1s is easy. 
Going through your 1:1s is organized and easy to follow
Linking your goals to de company goals is very useful
Having to come up with things to measure if you are behind, on track or ahead gives you goal more accountability 
Customer support is fast and friendly There is no email notifications so it's hard to remember when you have to do something
Most of the company shares the indian culture way of doing performance reviews, which is by rating, they should offer some kind of change management advice to deal with this kind of cultural issues","culture
cultural
customer
company
management
reviews",Linking your goals to de company goals is very useful
Capterra___1612437,CakeHR,"Overall we are happy and will continue to use Cake for hopefully many more years. We hope our requestes will be taken to development It was very easy to setup
it´s quiet user friendly 
it allows some automations vie receipts
price is based on users
 as we grow very fast our needs change, even tough the cake team did implement a few changes to also accommodate our needs some are not satisfied yet:
option to choose a worktime pattern when adding new user
complex leave policy setup with formula for holiday allowance based on i.e. (age, number of children etc.)","user
users
cake
allows
allowance
vie receipts",complex leave policy setup with formula for holiday allowance based on i.e.
Capterra___1598102,CakeHR,"Has helped us a lot in the optimization, automatization and agility to handle our employee data and processes like leaves, feedback, goals, etc.
We have established an alliance with the Cake HR team and this has allowed us to customize the app to our and being able to find solutions to our daily needs. Intuitive for its use, user friendly, modern look, flexibility in workflows and constant improvements in the app.
The best part for us is that we have constant contact with the support team and work very closely in designing processes and workflows to respond our internal needs. We are working on having a more horizontal structure and be able to install a collective decision making process. So far Cake HR needs for everyone to have a ""manager"" for approvals in many of the processes so sometimes we need to think around that.
This is not a mejor limitation since the app also allows for some processes to have automatic approvals, but would be interesting to evaluate new organization models. 
","needs
need
processes
process
automatization
automatic
constant
new organization
look",The best part for us is that we have constant contact with the support team and work very closely in designing processes and workflows to respond our internal needs.
Capterra___1598159,CakeHR,"Overall I am very happy with CakeHR. I am able to figure out who is in and out of the office with ease. My staff love how fast it enables me to approve/deny the holiday requests as it gives all the information I need to make the decision, including automated emails to me and the other administrators. I love how I have been able to integrate this with my google calendar too. The reporting gives good information to so we can better tackle our staff who are off on long term sick etc. Would definitely recommend. I like how simple the software is to use and setup. Your business can be good to go in a matter of minutes. The UI looks good and is a very helpful tool to the organisation I work in. Gives me a good overview of who is off and for what reason that day!  I don't like the permissions model. The reason I stated for a smaller company is because as you grow, it feels the permission model can become a bit more problematic if you want to be setting up complex permissions. E.g. Users able to see everyone off on holiday that day, even if not in your own team. ","good
permissions
permission
term
including automated
gives","My staff love how fast it enables me to approve/deny the holiday requests as it gives all the information I need to make the decision, including automated emails to me and the other administrators.
Gives me a good overview of who is off and for what reason that day!"
Capterra___1587361,CakeHR,"Overall, an amazing experience.

I did a bit of research as to what CakeHR can do, and when I approached the supporting team, they are very accommodating and patient in regards to the questions I have.

Customer service is definitely one of the things that stood out to me, how responsive and helpful the team is - shout out to customer service who has been helping me along the way! How easy it is to get a hang of using the app, which also makes it easier for us as a company to onboard members and encourage them to utilise the app accordingly.

There are a lot of functions to play around, and I find 90% of the functions applicable to the company, and would be applicable to other companies too.

Makes keeping track of employee's goals and tasks easier than ever, with notifications sent to certain individuals frequently yet not too much that they would consider it as spam.  Wish there could have more functions to track the personal development of employee(s), like having a roadmap or letting them see what is the next step for them to advance to.","keeping
individuals
team
supporting
applicable","Makes keeping track of employee's goals and tasks easier than ever, with notifications sent to certain individuals frequently yet not too much that they would consider it as spam."
Capterra___1011636,CakeHR,"It's nice tool to solve a problem of availability visibility in the distributed team, easy to use.  - easy UX and UI
- convenient dashboard
- ability to create different policies for various locations (if you have a distributed team it's fantastic)
- integration with a google calendar & slack bot
- custom actions to be done after a time-off request is provided
- mobile app available
 - documents storage is not convenient for users and search
- had few cases with support team when did not receive a reply in time
- would be great to have a follow-up for managers if they do not approve/decline the request of their direct reports
- request for few hours per day does not allow to give precise hours, simply [number] hours in the first/second part of the day. I would prefer specifying exact hours","hours
availability
available
team easy
different
reports
dashboard
custom","It's nice tool to solve a problem of availability visibility in the distributed team, easy to use.
- custom actions to be done after a time-off request is provided"
Capterra___1009878,CakeHR,"The CakeHR, although with some issues, has quite the potential, especially if the developers continue improving and updating it. Not to mention that it is cheap in comparison to, for example, same BambooHR and it also fulfills pretty much all the needed options.  
I was pleasantly surprised with the customer support that I was provided while working with this software: if you have any questions or issues - the support team will always answer you within a day and try their best to adjust the software's settings to your liking and if you still have any further questions - they will arrange a meeting to help you solve the problem. 
The CakeHR is especially convenient for those companies that are functioning within one country. However, even if the company has several branches located in several countries it is still not a problem. Although it can be a bit confusing at first with all these access levels and settings that you will have to think about - with the right tags and teams you will manage it just fine.
 The Cake is very convenient for employees in terms of usage: it is simple, understandable, and solves the problem with the time-off policies' usage tracking.  There were quite a few issues that weren't particularly to my liking; however, after mentioning them to the CakeHR support team - they were quickly fixed and changed in the way we wanted them to.  Still, there is one thing that I think needs an improvement.

As of now, when you want to upload the documents - you cannot filter/restrict them by location or the team. You can either upload it for everyone within the company to see it or upload it individually. As you might have already realized from that - if you want only one department or only one country's branch to see a certain document - you will have to upload it individually every time. ","support
needed
needs
continue
especially
usage
right
pretty","There were quite a few issues that weren't particularly to my liking; however, after mentioning them to the CakeHR support team - they were quickly fixed and changed in the way we wanted them to.
As you might have already realized from that - if you want only one department or only one country's branch to see a certain document - you will have to upload it individually every time."
Capterra___1599181,CakeHR,"This has been a great solution to managing the day to day HR ops. I also like that i feel that i am contributing to making this product better such is the interaction with the CakeHR team. I am starting to reach some scalability limits but this software is evolving and i wouldn't hesitate to recommend it to a startup or SME. It has all the standard features you need at a budget friendly cost and the customer support is responsive. The UI is intuitive, even for the employees who didn't really need any training to use it. I also like the G-Suite and Slack integration. It needs more feature updates to have better functionality and scalability - the support team and community is pretty good at taking on requests and fixing bugs though.","better
friendly
features
feature
team",It needs more feature updates to have better functionality and scalability - the support team and community is pretty good at taking on requests and fixing bugs though.
Capterra___1609142,CakeHR,"The best value for money, where HR processes get automated very quickly and user friendly. It is very adjustable, features are updated each week with increasing functionality, accessible customer support, very friendly pricing. Bugs. With such a speed in new releases it is almost inevitable that bugs pop up.
New customer onboarding could be improved with clear guidelines.
Knowledge base with instructions of use could be more informative.
System could offer basic templates for all modules (survey, onboarding, offboarding etc)","customer
onboarding
basic
knowledge
guidelines",New customer onboarding could be improved with clear guidelines.
Capterra___1586626,CakeHR,"Recently, we became aware that CakeHR offers time tracking. We had previously been using spreadsheets to keep track of hourly employees, which was at times difficult to use and run reporting on. Time tracking in CakeHR allowed us to make it easier for our hourly employees to clock in and out in a system that they were already familiar with, and the payroll reporting aspect is much easier as well.  I love the ease of use CakeHR offers. It is very intuitive, easy to read (I love the appearance!) and easy to train new employees on. It is also very simple to use the CakeHR API to integrate with other software we use as an organization.  I have no complaints with CakeHR. Everything is great!","cakehr
reporting
time
times","Time tracking in CakeHR allowed us to make it easier for our hourly employees to clock in and out in a system that they were already familiar with, and the payroll reporting aspect is much easier as well."
Capterra___1623618,CakeHR,"Only second to one system, which is unaffordable for us. I look forward to seeing how this company develops. I recommend this system for any growing startup and SME.  Very responsive team. 
Slack integration of the leave management is handy and updates in realtime
Leave management is really good, I like that you can extra mandatory fields. We use this to track out of office staff, and remote working. It's also used to track time spent on their personal wellbeing. 
The app is handy, I know most of the staff use this instead of the web version. 
The org chart with collapsable levels and drag and drop changes is a very strong feature.  most cons are just potential development and improvement as apposed to major flaws. 
Adding timesheets could be more streamlined, maybe a quick add from a calendar style overview would be nicer.
Expense management - it would be great to be able to integrate with Xero.","develops
development
mandatory
time
style
staff
team
slack
flaws
adding
leave","Slack integration of the leave management is handy and updates in realtime
We use this to track out of office staff, and remote working."
Capterra___270014,CakeHR,"The software nearly runs by itself - as long as each user is trained properly. This allows the Administrators to focus on other important tasks. I like the ability to create custom time-off fields for employees and being able to see everyone's future time-off requests for planning purposes. The ""reporting"" is very helpful for managers to use during our annual performance review process. Being able to color code the time-off fields makes the platform attractive on both desktop and mobile. I love being able to store HR-related documents for easy access. The entire platform has made our HR processes more efficient. LOVE, LOVE , LOVE!! :) As an administrator/manager of the software, I find it difficult to navigate on my Android phone. I don't like being limited to this as I sometimes have to approve individual ""time off"" requests in the absence of the company President and when I am away from the office.","time
nearly
platform
love
performance review
individual","Being able to color code the time-off fields makes the platform attractive on both desktop and mobile.
:) As an administrator/manager of the software, I find it difficult to navigate on my Android phone."
Capterra___1587719,CakeHR,"CakeHR makes it easy for us to save and document our time-offs, no matter if its vacation, sick days, business trips or home office days - finally everything is put in one place. Due to the great Slack integration, the chatbot informs us about absent employees every morning and makes it easy to plan our resources.
Costumer support is amazing! - saves all our time-offs
- overview above vacation and sickdays
- reminder for birthdays and work anniversaries
- Slack integration - a bit too less flexibility regarding time off policies (e.g. it would be great to have a policy where working students could enter when they are in the office, not out)","days
slack
costumer
working
work anniversaries","CakeHR makes it easy for us to save and document our time-offs, no matter if its vacation, sick days, business trips or home office days - finally everything is put in one place."
Capterra___1586493,CakeHR,"CakeHR is a much better experience for our employees than other HR services we have used. We have gotten positive feedback about it from our team.  Really appreciate the amount of effort they put into designing this app out. The visual experience is far superior to any other HR app I have used in the past.  There is additional functionality that can be hard to find, such as where to put documentation like the employee handbook. Also, I would like to see users be able to be grouped into multiple different teams or views. ","different
experience
positive",The visual experience is far superior to any other HR app I have used in the past.
